"시도별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"시도별",10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg)
"계",181,229,260,236,283,266,197,248,248,193
"서울특별시",116,199,192,225,257,223,150,206,230,168
"부산광역시",112,237,277,233,259,270,247,287,234,271
"대구광역시",204,222,234,217,238,219,197,210,214,201
"인천광역시",140,262,222,242,226,225,218,230,203,203
"광주광역시",224,202,173,166,205,217,197,266,189,201
"대전광역시",96,238,212,214,216,220,166,235,249,117
"울산광역시",163,255,287,258,278,294,217,204,168,259
"세종특별자치시",-,-,-,-,-,248,163,220,238,125
"경기도",116,199,192,225,257,223,150,206,230,168
"강원도",126,206,195,242,252,224,180,231,226,203
"충청북도",106,213,250,226,263,264,171,257,276,167
"충청남도",124,205,256,247,316,301,194,284,252,159
"전라북도",203,224,239,234,310,284,197,252,262,175
"전라남도",225,229,277,242,283,264,228,239,232,212
"경상북도",224,260,306,243,289,271,190,254,260,214
"경상남도",216,226,266,194,279,269,265,255,239,206
"제주도",170,166,155,175,232,232,214,211,180,198
