"시도별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"시도별",10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg)
"계",1227,1199,1405,1412,1290,1327,1221,1170,1400,1432
"서울특별시",740,689,965,899,904,943,700,835,1005,1020
"부산광역시",1446,1223,1412,1759,1042,1502,989,906,1182,1200
"대구광역시",1380,1460,1357,1527,1261,1571,1587,1629,1645,1621
"인천광역시",539,713,868,908,745,1082,1052,959,859,925
"광주광역시",846,952,1169,1123,1087,1163,1063,1096,1352,1320
"대전광역시",725,783,956,974,917,1011,859,604,700,1032
"울산광역시",1111,1043,1039,892,1303,894,1197,990,1269,1528
"세종특별자치시",-,-,-,-,-,1123,978,744,970,776
"경기도",740,689,965,899,923,944,701,854,913,1087
"강원도",866,653,896,677,777,807,800,754,780,1049
"충청북도",588,657,764,712,794,856,833,816,935,912
"충청남도",1047,1102,1386,1396,1277,1466,1228,1200,1332,1337
"전라북도",890,920,991,1278,1141,1212,1157,882,1203,1301
"전라남도",1116,1068,1228,1307,1218,1163,1105,996,1270,1322
"경상북도",1254,1371,1518,1548,1352,1425,1279,1396,1679,1623
"경상남도",1499,1467,1668,1630,1424,1502,1349,1200,1484,1556
"제주도",1590,1345,1639,1513,1466,1337,1445,1279,1346,1475
