"시도별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"시도별",10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg)
"계",6616,5703,6458,6649,6072,6528,5858,5756,7322,7962
"서울특별시",0,0,0,0,0,0,4559,5502,6540,5942
"부산광역시",7393,6303,8265,7271,6584,7445,6082,4881,6463,7788
"대구광역시",5379,3901,6909,6089,4328,7108,8734,9368,8426,8950
"인천광역시",3804,3709,2294,4072,2833,6046,5569,5632,6477,6595
"광주광역시",5574,7733,7443,6628,6603,5700,5580,5940,6994,7541
"대전광역시",6276,3936,4191,6628,5707,6270,5243,5570,5547,6614
"울산광역시",4950,3970,5889,5646,5167,7445,6082,6451,5984,6008
"세종특별자치시",-,-,-,-,-,6270,5243,5570,5485,6614
"경기도",5405,3278,5170,4080,4628,6046,4559,5502,6545,5942
"강원도",5139,4865,2892,3463,4025,6224,5911,5542,6014,5864
"충청북도",3509,3856,4053,4569,3467,5437,3836,5226,4353,4790
"충청남도",6276,3936,4191,6628,5707,6270,5243,5570,5500,6620
"전라북도",5064,5550,5179,6710,5563,6508,6225,6171,7957,7896
"전라남도",6417,5441,5730,6319,5923,5981,5578,4932,6873,7883
"경상북도",7067,6433,7464,7193,6463,7117,5974,6296,7471,8098
"경상남도",7382,6277,8230,7237,6581,7434,6081,6601,8170,8783
"제주도",7103,6386,6681,7220,6552,6458,6945,6740,7875,7594
