"시도별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"시도별",10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg),10a당 생산량 (kg)
"계",2471,2391,2654,2872,2697,2714,2709,2591,2697,2711
"서울특별시",2775,2333,2125,2000,2000,2000,2022,2012,2008,2007
"부산광역시",3039,2997,2866,2872,2737,2603,2934,2438,2695,2681
"대구광역시",2516,3129,3498,3229,3022,2400,2139,2511,2046,2288
"인천광역시",2350,3053,2285,2312,2155,1941,1953,2134,1943,1942
"광주광역시",2568,2380,1860,1900,2800,2850,2547,2500,2272,2263
"대전광역시",1824,1756,1645,1722,1600,1752,1596,1545,1635,1637
"울산광역시",1853,2041,2269,1932,1727,1746,1778,1830,1925,1922
"세종특별자치시",-,-,-,-,-,1850,1574,1797,1541,1510
"경기도",2714,2691,2660,2669,2712,2557,2309,2312,2317,2295
"강원도",2500,2473,2855,4003,2480,2058,2780,2451,2895,3269
"충청북도",2616,2514,2536,2708,2350,2416,2017,2117,1631,1939
"충청남도",1995,1945,1951,2304,2386,2117,2205,2925,1994,1936
"전라북도",2504,2510,2498,2881,3095,3915,2793,3259,2897,2677
"전라남도",2518,2370,3053,3044,2925,3237,3486,2806,3481,3377
"경상북도",2195,2179,2175,2329,2277,2217,2313,2125,2409,2498
"경상남도",2509,2371,2445,2242,2334,2289,2239,2205,2019,2019
"제주도",2259,2213,1868,2585,2003,2012,2428,2091,2644,2559
